Unnamed: 0,match_id,date,match_type,event_name,innings,batting_team,bowling_team,over,ball,ball_no,batter,bat_pos,runs_batter,balls_faced,bowler,valid_ball,runs_extras,runs_total,runs_bowler,runs_not_boundary,extra_type,non_striker,non_striker_pos,wicket_kind,player_out,fielders,runs_target,review_batter,team_reviewed,review_decision,umpire,umpires_call,player_of_match,match_won_by,win_outcome,toss_winner,toss_decision,venue,city,day,month,year,season,gender,team_type,superover_winner,result_type,method,balls_per_over,overs,event_match_no,stage,match_number,team_runs,team_balls,team_wicket,new_batter,power_surge_start,batter_runs,batter_balls,bowler_wicket,batting_partners,next_batter,striker_out,toss_match_win
141607,335982,2008-04-18,T20,Indian Premier League,1,Kolkata Knight Riders,Royal Challengers Bengaluru,0,1,0.1,SC Ganguly,1,0,1,P Kumar,1,1,1,0,False,legbyes,BB McCullum,2,,,,,,,,,False,BB McCullum,Kolkata Knight Riders,140 runs,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Bangalore,18,4,2008,2007/08,male,club,,,,6,20,1,Unknown,Unknown,1,1,0,,,0,1,0,"('BB McCullum', 'SC Ganguly')",,False,False
141832,335983,2008-04-19,T20,Indian Premier League,1,Chennai Super Kings,Punjab Kings,0,1,0.1,PA Patel,1,0,1,B Lee,1,0,0,0,False,,ML Hayden,2,,,,,,,,,False,MEK Hussey,Chennai Super Kings,33 runs,Chennai Super Kings,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,19,4,2008,2007/08,male,club,,,,6,20,2,Unknown,Unknown,0,1,0,,,0,1,0,"('ML Hayden', 'PA Patel')",,False,True
142080,335984,2008-04-19,T20,Indian Premier League,1,Rajasthan Royals,Delhi Capitals,0,1,0.1,T Kohli,1,0,1,GD McGrath,1,0,0,0,False,,YK Pathan,2,,,,,,,,,False,MF Maharoof,Delhi Capitals,9 wickets,Rajasthan Royals,bat,Arun Jaitley Stadium,Delhi,19,4,2008,2007/08,male,club,,,,6,20,3,Unknown,Unknown,0,1,0,,,0,1,0,"('T Kohli', 'YK Pathan')",,False,False
142299,335985,2008-04-20,T20,Indian Premier League,1,Mumbai Indians,Royal Challengers Bengaluru,0,1,0.1,L Ronchi,1,0,1,P Kumar,1,0,0,0,False,,ST Jayasuriya,2,,,,,,,,,False,MV Boucher,Royal Challengers Bengaluru,5 wickets,Mumbai Indians,bat,Wankhede Stadium,Mumbai,20,4,2008,2007/08,male,club,,,,6,20,5,Unknown,Unknown,0,1,0,,,0,1,0,"('L Ronchi', 'ST Jayasuriya')",,False,False
142545,335986,2008-04-20,T20,Indian Premier League,1,Deccan Chargers,Kolkata Knight Riders,0,1,0.1,AC Gilchrist,1,1,1,AB Dinda,1,0,1,1,False,,Y Venugopal Rao,2,,,,,,,,,False,DJ Hussey,Kolkata Knight Riders,5 wickets,Deccan Chargers,bat,Eden Gardens,Kolkata,20,4,2008,2007/08,male,club,,,,6,20,4,Unknown,Unknown,1,1,0,,,1,1,0,"('AC Gilchrist', 'Y Venugopal Rao')",,False,False
142785,335987,2008-04-21,T20,Indian Premier League,1,Punjab Kings,Rajasthan Royals,0,1,0.1,K Goel,1,0,1,MM Patel,1,0,0,0,False,,JR Hopes,2,,,,,,,,,False,SR Watson,Rajasthan Royals,6 wickets,Punjab Kings,bat,Sawai Mansingh Stadium,Jaipur,21,4,2008,2007/08,male,club,,,,6,20,6,Unknown,Unknown,0,1,0,,,0,1,0,"('JR Hopes', 'K Goel')",,False,False
143026,335988,2008-04-22,T20,Indian Premier League,1,Deccan Chargers,Delhi Capitals,0,1,0.1,AC Gilchrist,1,0,1,GD McGrath,1,0,0,0,False,,Y Venugopal Rao,2,,,,,,,,,False,V Sehwag,Delhi Capitals,9 wickets,Deccan Chargers,bat,Rajiv Gandhi International Stadium,Hyderabad,22,4,2008,2007/08,male,club,,,,6,20,7,Unknown,Unknown,0,1,0,,,0,1,0,"('AC Gilchrist', 'Y Venugopal Rao')",,False,False
143231,335989,2008-04-23,T20,Indian Premier League,1,Chennai Super Kings,Mumbai Indians,0,1,0.1,PA Patel,1,0,0,SM Pollock,0,1,1,1,False,wides,ML Hayden,2,,,,,,,,,False,ML Hayden,Chennai Super Kings,6 runs,Mumbai Indians,field,MA Chidambaram Stadium,Chennai,23,4,2008,2007/08,male,club,,,,6,20,8,Unknown,Unknown,1,0,0,,,0,0,0,"('ML Hayden', 'PA Patel')",,False,False
143486,335990,2008-04-24,T20,Indian Premier League,1,Deccan Chargers,Rajasthan Royals,0,1,0.1,AC Gilchrist,1,0,1,MM Patel,1,0,0,0,False,,VVS Laxman,2,,,,,,,,,False,YK Pathan,Rajasthan Royals,3 wickets,Rajasthan Royals,field,Rajiv Gandhi International Stadium,Hyderabad,24,4,2008,2007/08,male,club,,,,6,20,9,Unknown,Unknown,0,1,0,,,0,1,0,"('AC Gilchrist', 'VVS Laxman')",,False,True
143734,335991,2008-04-25,T20,Indian Premier League,1,Punjab Kings,Mumbai Indians,0,1,0.1,K Goel,1,0,1,SM Pollock,1,0,0,0,False,,IK Pathan,2,,,,,,,,,False,KC Sangakkara,Punjab Kings,66 runs,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",Chandigarh,25,4,2008,2007/08,male,club,,,,6,20,10,Unknown,Unknown,0,1,0,,,0,1,0,"('IK Pathan', 'K Goel')",,False,False
143984,335992,2008-04-26,T20,Indian Premier League,1,Royal Challengers Bengaluru,Rajasthan Royals,0,1,0.1,S Chanderpaul,1,1,1,SR Watson,1,0,1,1,False,,R Dravid,2,,,,,,,,,False,SR Watson,Rajasthan Royals,7 wickets,Rajasthan Royals,field,M Chinnaswamy Stadium,Bangalore,26,4,2008,2007/08,male,club,,,,6,20,12,Unknown,Unknown,1,1,0,,,1,1,0,"('R Dravid', 'S Chanderpaul')",,False,True
144213,335993,2008-04-26,T20,Indian Premier League,1,Kolkata Knight Riders,Chennai Super Kings,0,1,0.1,SC Ganguly,1,2,1,JDP Oram,1,0,2,2,False,,BB McCullum,2,,,,,,,,,False,JDP Oram,Chennai Super Kings,9 wickets,Kolkata Knight Riders,bat,MA Chidambaram Stadium,Chennai,26,4,2008,2007/08,male,club,,,,6,20,11,Unknown,Unknown,2,1,0,,,2,1,0,"('BB McCullum', 'SC Ganguly')",,False,False
144446,335994,2008-04-27,T20,Indian Premier League,1,Mumbai Indians,Deccan Chargers,0,1,0.1,L Ronchi,1,0,1,RP Singh,1,0,0,0,False,,ST Jayasuriya,2,,,,,,,,,False,AC Gilchrist,Deccan Chargers,10 wickets,Deccan Chargers,field,Dr DY Patil Sports Academy,Mumbai,27,4,2008,2007/08,male,club,,,,6,20,14,Unknown,Unknown,0,1,0,,,0,1,0,"('L Ronchi', 'ST Jayasuriya')",,False,True
144648,335995,2008-04-27,T20,Indian Premier League,1,Delhi Capitals,Punjab Kings,0,1,0.1,G Gambhir,1,0,1,B Lee,1,0,0,0,False,,V Sehwag,2,,,,,,,,,False,SM Katich,Punjab Kings,4 wickets,Delhi Capitals,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,27,4,2008,2007/08,male,club,,,,6,20,13,Unknown,Unknown,0,1,0,,,0,1,0,"('G Gambhir', 'V Sehwag')",,False,False
144896,335996,2008-04-28,T20,Indian Premier League,1,Chennai Super Kings,Royal Challengers Bengaluru,0,1,0.1,PA Patel,1,1,1,DW Steyn,1,0,1,1,False,,ML Hayden,2,,,,,,,,,False,MS Dhoni,Chennai Super Kings,13 runs,Chennai Super Kings,bat,M Chinnaswamy Stadium,Bangalore,28,4,2008,2007/08,male,club,,,,6,20,15,Unknown,Unknown,1,1,0,,,1,1,0,"('ML Hayden', 'PA Patel')",,False,True
145143,335997,2008-04-29,T20,Indian Premier League,1,Kolkata Knight Riders,Mumbai Indians,0,1,0.1,BB McCullum,1,1,1,SM Pollock,1,0,1,1,False,,SC Ganguly,2,,,,,,,,,False,ST Jayasuriya,Mumbai Indians,7 wickets,Kolkata Knight Riders,bat,Eden Gardens,Kolkata,29,4,2008,2007/08,male,club,,,,6,20,16,Unknown,Unknown,1,1,0,,,1,1,0,"('BB McCullum', 'SC Ganguly')",,False,False
